show_id,title,description,listed_in,rating,content,profile,release_year
s426,Chicago Med,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D.""",TV Dramas,TV-14,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D."" TV Dramas",0,2019
s427,Cousins,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other.",Dramas,TV-MA,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other. Dramas",0,2021
s428,Wannabe Courageous,"When his newlywed wife becomes disenchanted because he failed to protect her from danger, Omar seeks the help of a quirky psychiatrist to win her back.","Comedies, International Movies",TV-14,"When his newlywed wife becomes disenchanted because he failed to protect her from danger, Omar seeks the help of a quirky psychiatrist to win her back. Comedies, International Movies",1,2019
s429,Words Bubble Up Like Soda Pop,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer.","Anime Features, Children & Family Movies, International Movies",TV-G,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer. Anime Features, Children & Family Movies, International Movies",0,2021
s430,Sanitation Day,Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean.,"Dramas, International Movies, Thrillers",TV-14,"Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean. Dramas, International Movies, Thrillers",1,2020
s431,Sexy Beasts,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.","British TV Shows, International TV Shows, Reality TV",TV-14,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test. British TV Shows, International TV Shows, Reality TV",2,2021
s432,Too Hot to Handle: Brazil,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.","International TV Shows, Reality TV, Romantic TV Shows",TV-MA,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex. International TV Shows, Reality TV, Romantic TV Shows",2,2021
s433,Trollhunters: Rise of the Titans,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds â and reset Earth itself.",Children & Family Movies,TV-Y7,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds â and reset Earth itself. Children & Family Movies",0,2021
s434,Milkwater,Aimless 20-something Milo impulsively becomes a gay manâs surrogate and wrestles with the emotional complexities of her non-traditional decision.,"Comedies, Dramas, Independent Movies",TV-MA,"Aimless 20-something Milo impulsively becomes a gay manâs surrogate and wrestles with the emotional complexities of her non-traditional decision. Comedies, Dramas, Independent Movies",1,2020
s435,Okupas,"In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city.","Classic & Cult TV, Crime TV Shows, International TV Shows",TV-MA,"In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city. Classic & Cult TV, Crime TV Shows, International TV Shows",2,2020
s436,Touch Your Heart,"Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney.","Crime TV Shows, International TV Shows, Romantic TV Shows",TV-MA,"Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney. Crime TV Shows, International TV Shows, Romantic TV Shows",2,2019
s437,The Tambour of Retribution,"In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer â a taboo match in a traditional society.","Dramas, International Movies, Romantic Movies",TV-14,"In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer â a taboo match in a traditional society. Dramas, International Movies, Romantic Movies",1,2021
s438,Cosmic Sin,"In the year 2524, a disgraced retired general is called back into combat to help prevent an interstellar war against a hostile alien fleet.",Action & Adventure,R,"In the year 2524, a disgraced retired general is called back into combat to help prevent an interstellar war against a hostile alien fleet. Action & Adventure",3,2021
s439,2 Weeks in Lagos,A businessman returns home to Nigeria and falls in love with a friend's sister despite his familyâs plan for him to marry a politicianâs daughter.,"Dramas, International Movies, Romantic Movies",TV-PG,"A businessman returns home to Nigeria and falls in love with a friend's sister despite his familyâs plan for him to marry a politicianâs daughter. Dramas, International Movies, Romantic Movies",1,2020
s440,Deep,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control â and must find a way out before itâs too late.,"Dramas, International Movies, Thrillers",TV-MA,"Four insomniac med school students are lured into a neuroscience experiment that spirals out of control â and must find a way out before itâs too late. Dramas, International Movies, Thrillers",1,2021
s441,Explained,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.","Docuseries, Science & Nature TV",TV-MA,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop. Docuseries, Science & Nature TV",0,2021
s442,Fear Street Part 3: 1666,"Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives â and Shadysideâs future.","Horror Movies, LGBTQ Movies",R,"Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives â and Shadysideâs future. Horror Movies, LGBTQ Movies",1,2021
s443,Johnny Test,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!","Kids' TV, TV Comedies",TV-Y7,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge! Kids' TV, TV Comedies",0,2021
s444,La ley de Herodes,"Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor.","Comedies, International Movies",R,"Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor. Comedies, International Movies",1,1999
s445,Naomi Osaka,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.,Docuseries,TV-14,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader. Docuseries,0,2021
s446,The Beguiled,"During the Civil War, a wounded Union soldier takes refuge at a Southern girls school, rupturing the calm amid growing sexual tension and infighting.","Dramas, Independent Movies, Thrillers",R,"During the Civil War, a wounded Union soldier takes refuge at a Southern girls school, rupturing the calm amid growing sexual tension and infighting. Dramas, Independent Movies, Thrillers",1,2017
s447,The Book of Henry,"An 11-year-old vows to help a new neighbor who he suspects is in danger, and documents his efforts in a series of written entries and audio recordings.",Dramas,PG-13,"An 11-year-old vows to help a new neighbor who he suspects is in danger, and documents his efforts in a series of written entries and audio recordings. Dramas",0,2017
s448,The Twilight Saga: Breaking Dawn: Part 1,"After a dream wedding, Bella and Edward enter a new nightmare when a shocking development forces life-or-death decisions.","Dramas, Romantic Movies",PG-13,"After a dream wedding, Bella and Edward enter a new nightmare when a shocking development forces life-or-death decisions. Dramas, Romantic Movies",1,2011
s449,The Twilight Saga: Breaking Dawn: Part 2,"In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi.","Dramas, Romantic Movies",PG-13,"In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi. Dramas, Romantic Movies",1,2012
s450,The Twilight Saga: Eclipse,"With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob.","Dramas, Romantic Movies",PG-13,"With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob. Dramas, Romantic Movies",1,2010
s451,The Twilight Saga: New Moon,"Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black.","Dramas, Romantic Movies",PG-13,"Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black. Dramas, Romantic Movies",1,2009
s452,Twilight,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire.","Action & Adventure, Dramas, Romantic Movies",PG-13,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire. Action & Adventure, Dramas, Romantic Movies",3,2008
s453,A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancÃ©.","Comedies, Dramas, International Movies",TV-PG,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancÃ©. Comedies, Dramas, International Movies",1,2021
s454,BEASTARS,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.","Anime Series, International TV Shows",TV-MA,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst. Anime Series, International TV Shows",0,2021
s455,Cheech & Chong's Still Smokin,"Stoner comedians Cheech Marin and Tommy Chong arrive in Amsterdam to find they've been mistakenly invited, then take the stage live as a replacement act.","Comedies, Cult Movies",TV-MA,"Stoner comedians Cheech Marin and Tommy Chong arrive in Amsterdam to find they've been mistakenly invited, then take the stage live as a replacement act. Comedies, Cult Movies",0,1983
s456,Emicida: AmarElo - Live in SÃ£o Paulo,"Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to SÃ£o Paulo's Theatro Municipal as he performs hits from the album ""AmarElo.""","Documentaries, International Movies, Music & Musicals",TV-MA,"Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to SÃ£o Paulo's Theatro Municipal as he performs hits from the album ""AmarElo."" Documentaries, International Movies, Music & Musicals",4,2021
s457,Her Private Life,"An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director.","International TV Shows, Romantic TV Shows, TV Comedies",TV-14,"An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director. International TV Shows, Romantic TV Shows, TV Comedies",2,2019
s458,Lift Like a Girl,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level.","Documentaries, International Movies, Sports Movies",TV-PG,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level. Documentaries, International Movies, Sports Movies",1,2021
s459,My Amanda,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.","Dramas, International Movies, Romantic Movies",TV-14,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant. Dramas, International Movies, Romantic Movies",1,2021
s460,Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular â but friends, family and feelings wonât make it easy on her.","TV Comedies, TV Dramas, Teen TV Shows",TV-14,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular â but friends, family and feelings wonât make it easy on her. TV Comedies, TV Dramas, Teen TV Shows",2,2021
s461,Surf's Up,This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing.,"Children & Family Movies, Comedies, Sports Movies",PG,"This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing. Children & Family Movies, Comedies, Sports Movies",0,2007
s462,The Unknown Saint,"Following a stint behind bars, a thief returns to where he buried his loot, only to find that his hiding spot is now a shrine to an unknown saint.","Comedies, Dramas, Independent Movies",TV-14,"Following a stint behind bars, a thief returns to where he buried his loot, only to find that his hiding spot is now a shrine to an unknown saint. Comedies, Dramas, Independent Movies",1,2019
s463,This Changes Everything,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.,Documentaries,TV-MA,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers. Documentaries,0,2019
s464,A Classic Horror Story,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","Horror Movies, International Movies",TV-MA,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive. Horror Movies, International Movies",1,2021
s465,Gunpowder Milkshake,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate â and reunites a gun-wielding sisterhood.","Action & Adventure, Comedies",R,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate â and reunites a gun-wielding sisterhood. Action & Adventure, Comedies",3,2021
s466,Heist,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,"Crime TV Shows, Docuseries",TV-MA,"Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series. Crime TV Shows, Docuseries",2,2021
s467,My Unorthodox Life,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series.",Reality TV,TV-MA,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series. Reality TV",0,2021
s468,Private Network: Who Killed Manuel BuendÃ­a?,A deep dive into the work of renowned Mexican journalist Manuel BuendÃ­a looks to unravel his murder and the ties between politics and drug trafficking.,"Documentaries, International Movies",TV-MA,"A deep dive into the work of renowned Mexican journalist Manuel BuendÃ­a looks to unravel his murder and the ties between politics and drug trafficking. Documentaries, International Movies",0,2021
s469,The Guide to the Perfect Family,"A couple in QuÃ©bec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.","Comedies, Dramas, International Movies",TV-MA,"A couple in QuÃ©bec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image. Comedies, Dramas, International Movies",1,2021
s470,American Woman,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears.","Dramas, Independent Movies",TV-MA,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears. Dramas, Independent Movies",1,2019
s471,Bridgerton - The Afterparty,"""Bridgerton"" cast members share behind-the-scenes stories from the hit show, plus comedian Nikki Glaser breaks down the costume drama's sexiest moments.",Movies,TV-14,"""Bridgerton"" cast members share behind-the-scenes stories from the hit show, plus comedian Nikki Glaser breaks down the costume drama's sexiest moments. Movies",0,2021
s472,Day of Destiny,"With their family facing financial woes, two teen brothers seize an opportunity to reverse their bad fortunes by traveling 20 years back in time.","Children & Family Movies, Dramas, International Movies",TV-PG,"With their family facing financial woes, two teen brothers seize an opportunity to reverse their bad fortunes by traveling 20 years back in time. Children & Family Movies, Dramas, International Movies",1,2021
s473,Ridley Jones,Curious kid Ridley and her friends protect the Museum of Natural Historyâs treasures and keep its magical secret safe: Everything comes alive at night!,Kids' TV,TV-Y,Curious kid Ridley and her friends protect the Museum of Natural Historyâs treasures and keep its magical secret safe: Everything comes alive at night! Kids' TV,0,2021
s474,Born to Play,"This documentary follows the Boston Renegades â an all-woman, tackle football team â as they risk their time, families and day jobs for the game.","Documentaries, Sports Movies",TV-MA,"This documentary follows the Boston Renegades â an all-woman, tackle football team â as they risk their time, families and day jobs for the game. Documentaries, Sports Movies",0,2020
s475,American Ultra,"He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back.","Action & Adventure, Comedies",R,"He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back. Action & Adventure, Comedies",3,2015
s476,The Stand-Up,Members of the comedy group Na StojÃ¡ka take the stage and the mic by storm for a special night of stand-up comedy.,Stand-Up Comedy,TV-MA,Members of the comedy group Na StojÃ¡ka take the stage and the mic by storm for a special night of stand-up comedy. Stand-Up Comedy,0,2019
s477,The Tour,"MiloÅ¡ Knor brings comedians LukÃ¡Å¡ PavlÃ¡sek, TomÃ¡Å¡ Matonoha, Ester KoÄiÄkovÃ¡, Michal KavalÄÃ­k and Richard NedvÄd on a tour around the Czech Republic.","Comedies, Documentaries, International Movies",TV-MA,"MiloÅ¡ Knor brings comedians LukÃ¡Å¡ PavlÃ¡sek, TomÃ¡Å¡ Matonoha, Ester KoÄiÄkovÃ¡, Michal KavalÄÃ­k and Richard NedvÄd on a tour around the Czech Republic. Comedies, Documentaries, International Movies",0,2016
s478,Atypical,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.","TV Comedies, TV Dramas, Teen TV Shows",TV-14,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery. TV Comedies, TV Dramas, Teen TV Shows",2,2021
s479,Biohackers,A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-MA,"A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor. International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2,2021
s480,Fear Street Part 2: 1978,"In the cursed town of Shadyside, a killer's murder spree terrorizes Camp Nightwing and turns a summer of fun into a gruesome fight for survival.",Horror Movies,R,"In the cursed town of Shadyside, a killer's murder spree terrorizes Camp Nightwing and turns a summer of fun into a gruesome fight for survival. Horror Movies",1,2021
s481,Finding Hubby,"Oyin and her two close friends are on the hunt for husbands, but find that they must grapple with their own expectations as they look for love.","Comedies, Dramas, International Movies",TV-14,"Oyin and her two close friends are on the hunt for husbands, but find that they must grapple with their own expectations as they look for love. Comedies, Dramas, International Movies",1,2020
s482,How I Became a Superhero,"In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers.","Action & Adventure, Dramas, International Movies",TV-MA,"In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers. Action & Adventure, Dramas, International Movies",3,2021
s483,How to Become a Tyrant,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.",Docuseries,TV-MA,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries. Docuseries",0,2021
s484,Last Summer,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.","Dramas, International Movies, Romantic Movies",TV-MA,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle. Dramas, International Movies, Romantic Movies",1,2021
s485,Lee Su-geun: The Sense Coach,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows.",Stand-Up Comedy,TV-G,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows. Stand-Up Comedy",0,2021
s486,Lethal Love,"After a business owner starts receiving online threats, doubts and paranoia creep in when she reconnects with a former flame and meets a new client.",Thrillers,TV-14,"After a business owner starts receiving online threats, doubts and paranoia creep in when she reconnects with a former flame and meets a new client. Thrillers",1,2021
s487,Ratchet and Clank,Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy.,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,"Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy. Children & Family Movies, Comedies, Sci-Fi & Fantasy",0,2016
s488,The Cook of Castamar,"In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. MÃºÃ±ez.","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-MA,"In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. MÃºÃ±ez. International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2,2021
s489,Virgin River,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what â and who â she finds.","Romantic TV Shows, TV Dramas",TV-14,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what â and who â she finds. Romantic TV Shows, TV Dramas",2,2021
s490,Back to Q82,"Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.","Comedies, International Movies",TV-14,"Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows. Comedies, International Movies",1,2017
s491,Elize Matsunaga: Once Upon a Crime,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case.","Crime TV Shows, Docuseries, International TV Shows",TV-MA,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case. Crime TV Shows, Docuseries, International TV Shows",2,2021
s492,Home Again,"A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life.","Comedies, Dramas, Romantic Movies",PG-13,"A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life. Comedies, Dramas, Romantic Movies",1,2017
s493,Midnight Sun,"Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms.","Dramas, Romantic Movies",PG-13,"Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms. Dramas, Romantic Movies",1,2018
s494,RESIDENT EVIL: Infinite Darkness,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House.","Anime Series, TV Horror, TV Thrillers",TV-MA,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House. Anime Series, TV Horror, TV Thrillers",0,2021
s495,Rock the Kasbah,"When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents.","Comedies, Music & Musicals",R,"When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents. Comedies, Music & Musicals",4,2015
s496,Awon Boyz,This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos.,"Documentaries, International Movies",TV-MA,"This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos. Documentaries, International Movies",0,2019
s497,Brick Mansions,An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.,"Action & Adventure, International Movies",PG-13,"An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project. Action & Adventure, International Movies",3,2014
s498,Cat People,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales.",Docuseries,TV-14,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales. Docuseries",0,2021
s499,Clash,"When the patriarch of an emigrant Nigerian family visits their female-led Canadian home, traditional values collide with newer ones.","Dramas, International Movies",TV-MA,"When the patriarch of an emigrant Nigerian family visits their female-led Canadian home, traditional values collide with newer ones. Dramas, International Movies",1,2020
s500,Dogs,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",Docuseries,TV-PG,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances. Docuseries",0,2021
s501,Major Grom: Plague Doctor,"When a masked vigilanteâs killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it.","Action & Adventure, International Movies",TV-MA,"When a masked vigilanteâs killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it. Action & Adventure, International Movies",3,2021
s502,Mama Drama,"After years of fertility issues and her mother-in-law's nagging, a woman hires her assistant as a surrogate. But things donât go as smoothly as planned.","Dramas, International Movies",TV-MA,"After years of fertility issues and her mother-in-law's nagging, a woman hires her assistant as a surrogate. But things donât go as smoothly as planned. Dramas, International Movies",1,2020
s503,Tango With Me,A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night.,"Dramas, International Movies, Romantic Movies",TV-14,"A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night. Dramas, International Movies, Romantic Movies",1,2010
s504,The Mire,"In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious.","Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious. Crime TV Shows, International TV Shows, TV Dramas",2,2021
s505,The War Next-door,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.","International TV Shows, Spanish-Language TV Shows, TV Comedies",TV-MA,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences. International TV Shows, Spanish-Language TV Shows, TV Comedies",2,2021
s506,Therapy,A young dysfunctional couple tries to patch up their relationship through sessions with a highly unconventional therapist.,"Dramas, International Movies",TV-PG,"A young dysfunctional couple tries to patch up their relationship through sessions with a highly unconventional therapist. Dramas, International Movies",1,2020
s507,This Little Love Of Mine,A workaholic lawyer returns to her island home to convince an old friend to take over his familyâs company â but rekindled feelings soon get in the way.,"International Movies, Romantic Movies",TV-G,"A workaholic lawyer returns to her island home to convince an old friend to take over his familyâs company â but rekindled feelings soon get in the way. International Movies, Romantic Movies",1,2021
s508,Three Thieves,"Frustrated at work, three young men use a case of mistaken identity to pull off a seemingly simple crime â but their scheme comically unravels.","Comedies, International Movies",TV-14,"Frustrated at work, three young men use a case of mistaken identity to pull off a seemingly simple crime â but their scheme comically unravels. Comedies, International Movies",1,2019
s509,A Land Imagined,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,"Dramas, International Movies",TV-MA,"A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game. Dramas, International Movies",1,2019
s510,Ask the StoryBots,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.",Kids' TV,TV-Y,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth. Kids' TV",0,2019
s511,Between,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them.","International TV Shows, TV Dramas, TV Mysteries",TV-14,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them. International TV Shows, TV Dramas, TV Mysteries",2,2016
s512,Chelsea,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.","Stand-Up Comedy & Talk Shows, TV Comedies",TV-MA,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style. Stand-Up Comedy & Talk Shows, TV Comedies",0,2017
s513,Code Lyoko,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world.",Kids' TV,TV-Y7,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world. Kids' TV",0,2007
s514,Colony,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son.","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV-14,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son. TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",3,2018
s515,Cuckoo,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family.","British TV Shows, International TV Shows, TV Comedies",TV-MA,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family. British TV Shows, International TV Shows, TV Comedies",2,2019
